"REG_INST","REG_RESP","PGMCIPAP","PGM_P034","PGM_P100","PGM_280A","PGM_280B","PGM_280C","PGM_280D","PGM_280E","PGM_280F","PGM_290","PGM_350","PGM_380","PGM_P401","PGM_410","PGM_415","PGM_430","EDU_010","HLOSINTP","STL_010","STULOANS","STL_160B","STL_160C","STL_160D","STL_160E","STL_160F","STL_160G","STL_160H","STL_160I","STL_160J","STL_160L","STLP160N","BEF_P140","BEF_160","HLOSGRDP","PAR1GRD","PAR1INT","PAR2GRD","PAR2INT","GRADAGEP","GENDER2","MS_P01","MS_P02","CTZSHIPP","VISBMINP","DDIS_FL","LFCINDP","PUMFID","LFSTATP","WTPF"
"1","1","9","1","1","2","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","3","1","2","3","3","3","3","1","2","1","2","1","2","1","7","59263","1",10.1406
"3","3","6","1","2","2","2","2","2","2","1","2","2","2","1","9","6","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","1","5","1","2","1","1","1","1","1","2","2","2","1","2","2","5","59266","1",74.5716
"4","4","2","2","2","2","2","2","2","2","1","1","1","2","2","9","6","2","1","3","1","1","2","2","1","1","1","1","2","2","2","2","2","3","6","2","1","1","1","1","2","1","2","2","1","2","1","3","59268","1",36.0757
"2","2","5","1","2","2","2","2","2","2","1","1","1","2","2","3","3","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","3","1","2","2","2","2","2","1","2","1","1","1","2","2","4","59269","1",55.5059
"4","4","9","1","2","2","2","2","2","2","1","2","2","2","1","3","3","1","1","2","1","1","2","1","2","2","2","2","2","2","2","2","2","3","1","3","3","3","3","3","2","1","2","2","1","1","2","7","59278","1",37.5762
"4","4","6","2","1","2","2","2","2","2","1","1","1","2","1","3","2","2","1","3","1","1","1","1","2","1","1","2","2","2","2","2","2","3","3","2","2","1","1","1","1","1","1","2","1","2","1","3","59282","1",14.5165
"4","4","1","1","1","2","2","2","2","2","1","1","2","2","1","3","3","1","2","2","2","2","1","2","2","2","2","2","1","2","2","2","2","3","1","2","1","1","1","1","1","2","2","2","1","1","2","5","59288","1",11.0653
"1","1","4","1","2","2","2","2","2","2","1","1","1","2","1","5","2","2","1","3","2","2","2","2","2","1","2","2","1","2","2","2","2","3","1","2","2","1","2","1","1","2","2","2","3","1","2","96","59289","3",37.3554
"4","4","10","1","2","2","2","2","2","2","1","1","2","2","1","2","3","1","2","2","2","2","1","2","2","1","1","2","2","1","2","2","2","1","6","2","1","1","1","1","2","1","2","2","2","2","2","1","59295","1",11.4377
"2","2","6","1","2","2","1","2","2","1","2","1","1","2","2","2","3","1","1","3","1","1","2","1","2","2","1","2","1","2","2","2","2","3","1","2","2","1","2","1","1","2","2","2","2","1","2","96","59296","2",57.0489
"3","3","7","1","2","2","2","2","2","2","1","2","2","2","1","8","2","1","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","1","3","2","3","3","3","3","1","1","1","2","1","2","1","3","59298","1",52.0095
"4","4","9","1","1","2","2","2","2","2","1","1","1","2","1","2","3","1","2","2","1","1","2","1","1","1","1","1","2","2","2","2","2","1","5","2","2","2","1","1","2","2","2","2","1","2","1","7","59299","1",10.8696
"1","1","5","1","2","2","2","2","2","2","1","1","2","2","2","3","3","1","2","2","1","1","1","2","2","1","1","2","1","2","2","2","2","3","6","2","1","1","1","1","1","2","1","2","1","2","2","4","59303","1",10.1468
"4","4","1","2","1","2","2","2","2","2","1","1","1","2","2","2","3","1","2","2","2","2","2","2","2","2","2","2","1","2","2","1","2","1","6","2","1","1","1","1","4","2","1","2","2","2","1","7","59309","1",20.371
"4","4","10","1","1","2","2","2","2","2","1","1","1","2","2","3","1","1","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","5","6","2","2","2","2","2","1","2","1","2","1","2","1","3","59315","1",10.2002
"1","1","6","1","2","2","2","2","2","2","1","1","1","2","2","3","3","2","1","3","1","1","2","2","2","2","1","2","2","1","2","2","2","3","6","2","2","1","1","1","1","2","2","2","1","2","2","96","59325","3",11.7959
"4","4","9","1","1","2","2","2","2","2","1","1","1","2","1","9","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","2","2","3","3","2","3","3","3","3","1","1","2","2","2","1","2","4","59330","1",21.2841
"3","3","4","2","1","2","2","2","2","2","1","2","1","2","2","1","3","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","1","1","2","2","1","1","1","96","59335","2",75.5942
"4","4","9","2","2","2","2","2","2","2","1","1","2","2","1","7","3","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","3","2","1","1","1","1","2","2","2","2","3","1","2","6","59336","1",58.5533
"4","4","2","1","2","2","2","2","2","2","1","1","2","1","1","3","3","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","3","2","2","1","1","1","1","1","2","2","2","1","1","1","6","59341","1",21.0113
"2","2","5","1","1","2","2","2","2","2","1","2","2","2","1","8","3","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","3","3","2","2","2","2","2","1","2","2","2","1","2","1","4","59344","1",62.8791
"1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","3","3","1","1","2","1","1","1","2","2","1","1","2","1","2","1","2","2","3","2","2","1","1","1","1","1","2","2","2","1","2","2","5","59350","1",10.5691
"4","4","1","2","1","2","2","2","2","2","1","1","1","2","2","3","3","1","2","2","1","1","1","2","2","2","1","2","2","2","2","2","2","3","6","2","2","2","1","1","2","1","1","1","1","2","2","5","59352","1",11.2047
"4","4","4","2","2","2","2","2","2","2","1","1","1","2","1","7","3","2","2","2","1","1","2","1","1","1","1","2","2","2","2","2","2","3","6","2","2","2","1","1","2","2","1","1","2","1","2","5","59353","1",10.3076
"1","1","9","1","1","2","2","2","2","2","1","1","1","2","2","2","2","1","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","3","4","2","2","2","2","2","1","2","1","2","1","2","2","7","59357","1",10.1406
"4","4","8","1","2","2","2","2","2","2","1","1","1","2","2","3","2","1","1","3","2","2","1","1","2","2","2","2","2","2","2","1","2","3","2","2","1","1","1","1","1","1","2","2","1","2","2","96","59360","3",10.2888
"3","3","4","2","2","2","1","1","1","1","2","1","1","2","2","1","3","2","2","2","2","2","1","2","2","2","1","2","1","2","2","2","2","4","3","2","2","2","3","3","2","1","2","2","1","2","1","96","59367","3",88.3149
"4","4","6","1","2","2","2","2","2","2","1","2","1","2","1","1","2","1","1","2","1","1","2","2","2","1","2","2","1","1","1","2","2","3","5","2","1","1","1","1","1","2","2","2","1","2","2","96","59368","2",15.3722
"3","3","5","1","2","2","2","2","2","2","1","2","1","2","1","5","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","6","2","3","3","3","3","4","2","2","1","3","1","2","1","59369","1",381.1778
